Full_Name,position,year,social_followers,social_source,depth_role,role_mult,base_nil,predicted_nil,confidence,predicted_nil_fmt
Jontae Gilbert,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Darren Ikinnagbon,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Dominick Kelly,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
JJ Hanne,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Bo Walker,RB,1,4000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Chase Linton,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Daniel Okonkwo,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Nasir Johnson,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Tate Nelms,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Henry Delp,TE,1,3000,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Jaden Reddell,TE,1,3000,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Mason Short,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Colton Heinrich,TE,1,3000,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Nyier Daniels,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Marcus Harrison,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Connor Ferguson,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Waltclaire Flynn Jr.,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Ethan Barbour,TE,1,3000,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Dennis Uzochukwu,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
