id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds
5142602,Rasean,Dinkins,Georgia,190,71,27,1,S,Warner Robins,GA,USA,32.6200973,-83.606568,13153,[]
5142611,Isaiah,Gibson,Georgia,255,76,29,1,DE,Warner Robins,GA,USA,32.6200973,-83.606568,13153,['106200']
5145410,Chris,Cole,Georgia,235,75,9,2,LB,Salem,VA,USA,37.293378,-80.054667,51775,['108727']
5145507,Drew,Miller,Georgia,210,74,90,2,P,Mediapolis,IA,USA,41.008076,-91.1633978,19057,['110607']
5145652,Marcus,Harrison,Georgia,330,80,76,1,OL,Buffalo,NY,USA,42.8867166,-78.8783922,36029,['109067']
5146895,Nnamdi,Ogboko,Georgia,340,76,95,1,DL,Durham,NC,USA,35.996653,-78.9018053,37063,['109448']
5146897,Quintavius,Johnson,Georgia,255,76,33,2,LB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,['109064']
5146898,Nasir,Johnson,Georgia,340,78,88,1,DL,Dublin,GA,USA,32.5404447,-82.903754,13175,['108806']
5149473,Thomas,Blackshear,Georgia,200,73,88,1,WR,Savannah,GA,USA,32.0809263,-81.0911768,13051,[]
5150308,Elo,Modozie,Georgia,248,76,18,3,LB,Saint Augustine,FL,USA,29.8946952,-81.3145395,12109,[]
5150381,Will,Snellings,Georgia,220,74,51,2,LS,Fayetteville,GA,USA,33.4487257,-84.4549262,13113,[]
5150383,David,Lalaian,Georgia,225,74,41,2,TE,Monroe,GA,USA,33.7948364,-83.713229,13297,[]
5150384,Liam,Badger,Georgia,195,72,92,4,PK,Cumming,GA,USA,34.2073196,-84.1401926,13117,[]
5150831,Jeremy,Bell,Georgia,175,72,81,1,WR,Homerville,GA,USA,31.0365983,-82.7470849,13065,[]
5160173,Walter,Blanchard,Georgia,195,73,28,2,WR,Columbus,GA,USA,32.4609764,-84.9877094,13215,[]
5160174,Marek,Briley,Georgia,205,75,43,2,WR,Buford,GA,USA,34.1206564,-84.0043513,13135,[]
5160175,Ali,Hall,Georgia,201,73,43,4,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[]
5160176,Will,Taylor,Georgia,195,74,47,2,WR,Milton,GA,USA,34.1321631,-84.300666,13121,[]
5160177,Henry,Peagler,Georgia,290,75,60,2,OL,Blackshear,GA,USA,31.3060513,-82.2420661,13229,[]
5160178,Clinton,Barlow,Georgia,321,77,67,2,DL,Charlotte,NC,USA,35.2272,-80.843083,37119,[]
5172095,Bo,Walker,Georgia,210,69,24,1,RB,Ellenwood,GA,USA,33.6101096,-84.287978,13063,['106515']
5195293,Darren,Ikinnagbon,Georgia,255,77,11,1,LB,Hillside,NJ,USA,40.701213,-74.2301459,34039,['106285']
5208133,Dominick,Kelly,Georgia,190,73,24,1,DB,St. Petersburg,FL,USA,27.7703796,-82.6695085,12103,['106566']
5209009,JJ,Hanne,Georgia,290,76,96,1,DL,Berlin,,Germany,,,,[]
